t,T
7.18,1793.22
7.19,1792.39
7.20,1791.57
7.21,1790.75
7.22,1789.92
7.23,1789.10
7.24,1788.28
7.25,1787.47
7.26,1786.65
7.27,1785.84
7.28,1785.02
7.29,1784.21
7.30,1783.40
7.31,1782.59
7.32,1781.79
7.33,1780.98
7.34,1780.18
7.35,1779.37
7.36,1778.57
7.37,1777.77
7.38,1776.98
7.39,1776.18
7.40,1775.38
7.41,1774.59
7.42,1773.80
7.43,1773.00
7.44,1772.21
7.45,1771.43
7.46,1770.64
7.47,1769.85
7.48,1769.07
7.49,1768.29
7.50,1767.51
7.51,1766.73
7.52,1765.95
7.53,1765.17
7.54,1764.39
7.55,1763.62
7.56,1762.85
7.57,1762.07
7.58,1761.30
7.59,1760.53
7.60,1759.77
7.61,1759.00
7.62,1758.23
7.63,1757.47
7.64,1756.71
7.65,1755.95
7.66,1755.19
7.67,1754.43
7.68,1753.67
7.69,1752.91
7.70,1752.16
7.71,1751.41
7.72,1750.65
7.73,1749.90
7.74,1749.15
7.75,1748.41
7.76,1747.66
7.77,1746.91
7.78,1746.17
7.79,1745.43
7.80,1744.68
7.81,1743.94
7.82,1743.20
7.83,1742.47
7.84,1741.73
7.85,1740.99
7.86,1740.26
7.87,1739.53
7.88,1738.79
7.89,1738.06
7.90,1737.33
7.91,1736.61
7.92,1735.88
7.93,1735.15
7.94,1734.43
7.95,1733.70
7.96,1732.98
7.97,1732.26
7.98,1731.54
7.99,1730.82
8.00,1730.11
8.01,1729.39
8.02,1728.67
8.03,1727.96
8.04,1727.25
8.05,1726.54
8.06,1725.83
8.07,1725.12
8.08,1724.41
8.09,1723.70
8.10,1723.00
8.11,1722.29
8.12,1721.59
8.13,1720.89
8.14,1720.19
8.15,1719.49
8.16,1718.79
8.17,1718.09
8.18,1717.39
8.19,1716.70
8.20,1716.00
8.21,1715.31
8.22,1714.62
8.23,1713.93
8.24,1713.24
8.25,1712.55
8.26,1711.86
8.27,1711.18
8.28,1710.49
8.29,1709.81
8.30,1709.12
8.31,1708.44
8.32,1707.76
8.33,1707.08
8.34,1706.40
8.35,1705.72
8.36,1705.05
8.37,1704.37
8.38,1703.70
8.39,1703.02
8.40,1702.35
8.41,1701.68
8.42,1701.01
8.43,1700.34
8.44,1699.67
8.45,1699.00
8.46,1698.34
8.47,1697.67
8.48,1697.01
8.49,1696.35
8.50,1695.68
8.51,1695.02
8.52,1694.36
8.53,1693.70
8.54,1693.05
8.55,1692.39
8.56,1691.73
8.57,1691.08
8.58,1690.43
8.59,1689.77
8.60,1689.12
8.61,1688.47
8.62,1687.82
8.63,1687.17
8.64,1686.52
8.65,1685.88
8.66,1685.23
8.67,1684.59
8.68,1683.94
8.69,1683.30
8.70,1682.66
8.71,1682.02
8.72,1681.38
8.73,1680.74
8.74,1680.10
8.75,1679.46
8.76,1678.83
8.77,1678.19
8.78,1677.56
8.79,1676.93
8.80,1676.29
8.81,1675.66
8.82,1675.03
8.83,1674.40
8.84,1673.77
8.85,1673.15
8.86,1672.52
8.87,1671.90
8.88,1671.27
8.89,1670.65
8.90,1670.02
8.91,1669.40
8.92,1668.78
8.93,1668.16
8.94,1667.54
8.95,1666.92
8.96,1666.31
8.97,1665.69
8.98,1665.08
8.99,1664.46
9.00,1663.85
9.01,1663.23
9.02,1662.62
9.03,1662.01
9.04,1661.40
9.05,1660.79
9.06,1660.19
9.07,1659.58
9.08,1658.97
9.09,1658.37
9.10,1657.76
9.11,1657.16
9.12,1656.55
9.13,1655.95
9.14,1655.35
9.15,1654.75
9.16,1654.15
9.17,1653.55
9.18,1652.96
9.19,1652.36
9.20,1651.76
9.21,1651.17
9.22,1650.57
9.23,1649.98
9.24,1649.39
9.25,1648.80
9.26,1648.21
9.27,1647.62
9.28,1647.03
9.29,1646.44
9.30,1645.85
9.31,1645.26
9.32,1644.68
9.33,1644.09
9.34,1643.51
9.35,1642.93
9.36,1642.34
9.37,1641.76
9.38,1641.18
9.39,1640.60
9.40,1640.02
9.41,1639.44
9.42,1638.87
9.43,1638.29
9.44,1637.71
9.45,1637.14
9.46,1636.56
9.47,1635.99
9.48,1635.42
9.49,1634.85
9.50,1634.27
9.51,1633.70
9.52,1633.14
9.53,1632.57
9.54,1632.00
9.55,1631.43
9.56,1630.87
9.57,1630.30
9.58,1629.73
9.59,1629.17
9.60,1628.61
9.61,1628.05
9.62,1627.48
9.63,1626.92
9.64,1626.36
9.65,1625.80
9.66,1625.24
