t,T
5.47,1958.27
5.48,1957.09
5.49,1955.92
5.50,1954.75
5.51,1953.58
5.52,1952.42
5.53,1951.25
5.54,1950.09
5.55,1948.94
5.56,1947.78
5.57,1946.63
5.58,1945.48
5.59,1944.34
5.60,1943.19
5.61,1942.05
5.62,1940.92
5.63,1939.78
5.64,1938.65
5.65,1937.52
5.66,1936.39
5.67,1935.27
5.68,1934.14
5.69,1933.02
5.70,1931.91
5.71,1930.79
5.72,1929.68
5.73,1928.57
5.74,1927.46
5.75,1926.36
5.76,1925.26
5.77,1924.16
5.78,1923.06
5.79,1921.97
5.80,1920.88
5.81,1919.79
5.82,1918.70
5.83,1917.62
5.84,1916.54
5.85,1915.46
5.86,1914.38
5.87,1913.30
5.88,1912.23
5.89,1911.16
5.90,1910.10
5.91,1909.03
5.92,1907.97
5.93,1906.91
5.94,1905.85
5.95,1904.79
5.96,1903.74
5.97,1902.69
5.98,1901.64
5.99,1900.60
6.00,1899.55
6.01,1898.51
6.02,1897.47
6.03,1896.43
6.04,1895.40
6.05,1894.37
6.06,1893.34
6.07,1892.31
6.08,1891.28
6.09,1890.26
6.10,1889.24
6.11,1888.22
6.12,1887.20
6.13,1886.19
6.14,1885.17
6.15,1884.16
6.16,1883.16
6.17,1882.15
6.18,1881.15
6.19,1880.14
6.20,1879.14
6.21,1878.15
6.22,1877.15
6.23,1876.16
6.24,1875.17
6.25,1874.18
6.26,1873.19
6.27,1872.21
6.28,1871.22
6.29,1870.24
6.30,1869.26
6.31,1868.29
6.32,1867.31
6.33,1866.34
6.34,1865.37
6.35,1864.40
6.36,1863.43
6.37,1862.47
6.38,1861.51
6.39,1860.55
6.40,1859.59
6.41,1858.63
6.42,1857.68
6.43,1856.72
6.44,1855.77
6.45,1854.82
6.46,1853.88
6.47,1852.93
6.48,1851.99
6.49,1851.05
6.50,1850.11
6.51,1849.17
6.52,1848.24
6.53,1847.30
6.54,1846.37
6.55,1845.44
6.56,1844.51
6.57,1843.59
6.58,1842.66
6.59,1841.74
6.60,1840.82
6.61,1839.90
6.62,1838.98
6.63,1838.07
6.64,1837.16
6.65,1836.24
6.66,1835.34
6.67,1834.43
6.68,1833.52
6.69,1832.62
6.70,1831.72
6.71,1830.81
6.72,1829.92
6.73,1829.02
6.74,1828.12
6.75,1827.23
6.76,1826.34
6.77,1825.45
6.78,1824.56
6.79,1823.67
6.80,1822.79
6.81,1821.91
6.82,1821.02
6.83,1820.14
6.84,1819.27
6.85,1818.39
