t,T
56.80,901.51
56.90,900.98
57.00,900.46
57.10,899.93
57.20,899.41
57.30,898.88
57.40,898.36
57.50,897.84
57.60,897.32
57.70,896.80
57.80,896.29
57.90,895.77
58.00,895.26
58.10,894.74
58.20,894.23
58.30,893.72
58.40,893.21
58.50,892.70
58.60,892.19
58.70,891.69
58.80,891.18
58.90,890.68
59.00,890.18
59.10,889.67
59.20,889.17
59.30,888.67
59.40,888.18
59.50,887.68
59.60,887.18
59.70,886.69
59.80,886.19
59.90,885.70
60.00,885.21
60.10,884.72
60.20,884.23
60.30,883.74
60.40,883.25
60.50,882.77
60.60,882.28
60.70,881.80
60.80,881.31
60.90,880.83
61.00,880.35
61.10,879.87
61.20,879.39
61.30,878.91
61.40,878.44
61.50,877.96
61.60,877.49
61.70,877.01
61.80,876.54
61.90,876.07
62.00,875.60
62.10,875.13
62.20,874.66
62.30,874.19
62.40,873.72
62.50,873.26
62.60,872.79
62.70,872.33
62.80,871.87
62.90,871.41
63.00,870.94
63.10,870.48
63.20,870.03
63.30,869.57
63.40,869.11
63.50,868.65
63.60,868.20
63.70,867.75
63.80,867.29
63.90,866.84
64.00,866.39
64.10,865.94
64.20,865.49
64.30,865.04
64.40,864.59
64.50,864.15
64.60,863.70
64.70,863.26
64.80,862.81
64.90,862.37
65.00,861.93
65.10,861.49
65.20,861.05
65.30,860.61
65.40,860.17
65.50,859.73
65.60,859.29
65.70,858.86
65.80,858.42
65.90,857.99
66.00,857.56
66.10,857.13
66.20,856.69
66.30,856.26
66.40,855.83
66.50,855.40
66.60,854.98
66.70,854.55
66.80,854.12
66.90,853.70
67.00,853.27
67.10,852.85
67.20,852.43
67.30,852.01
67.40,851.58
67.50,851.16
67.60,850.74
67.70,850.33
67.80,849.91
67.90,849.49
68.00,849.07
68.10,848.66
68.20,848.24
68.30,847.83
68.40,847.42
68.50,847.01
68.60,846.59
68.70,846.18
68.80,845.77
68.90,845.37
69.00,844.96
69.10,844.55
69.20,844.14
69.30,843.74
69.40,843.33
69.50,842.93
69.60,842.52
69.70,842.12
69.80,841.72
69.90,841.32
70.00,840.92
70.10,840.52
70.20,840.12
70.30,839.72
70.40,839.32
70.50,838.93
70.60,838.53
70.70,838.14
70.80,837.74
70.90,837.35
71.00,836.96
71.10,836.56
71.20,836.17
71.30,835.78
71.40,835.39
71.50,835.00
71.60,834.61
71.70,834.23
71.80,833.84
71.90,833.45
72.00,833.07
72.10,832.68
72.20,832.30
72.30,831.91
72.40,831.53
72.50,831.15
72.60,830.77
72.70,830.39
72.80,830.01
72.90,829.63
73.00,829.25
73.10,828.87
73.20,828.49
73.30,828.12
73.40,827.74
73.50,827.37
73.60,826.99
73.70,826.62
73.80,826.24
73.90,825.87
74.00,825.50
74.10,825.13
74.20,824.76
74.30,824.39
74.40,824.02
74.50,823.65
74.60,823.28
74.70,822.92
74.80,822.55
74.90,822.18
75.00,821.82
75.10,821.45
75.20,821.09
75.30,820.73
75.40,820.36
75.50,820.00
75.60,819.64
75.70,819.28
75.80,818.92
75.90,818.56
76.00,818.20
76.10,817.84
76.20,817.48
76.30,817.13
76.40,816.77
76.50,816.42
76.60,816.06
76.70,815.71
76.80,815.35
76.90,815.00
77.00,814.65
77.10,814.29
77.20,813.94
77.30,813.59
77.40,813.24
77.50,812.89
77.60,812.54
77.70,812.19
77.80,811.85
77.90,811.50
78.00,811.15
78.10,810.81
78.20,810.46
78.30,810.12
78.40,809.77
78.50,809.43
78.60,809.09
78.70,808.74
78.80,808.40
78.90,808.06
79.00,807.72
79.10,807.38
79.20,807.04
79.30,806.70
79.40,806.36
79.50,806.02
79.60,805.69
79.70,805.35
79.80,805.01
79.90,804.68
80.00,804.34
80.10,804.01
80.20,803.67
80.30,803.34
80.40,803.01
80.50,802.68
80.60,802.34
80.70,802.01
80.80,801.68
80.90,801.35
81.00,801.02
81.10,800.69
81.20,800.36
81.30,800.04
81.40,799.71
81.50,799.38
81.60,799.06
81.70,798.73
81.80,798.40
81.90,798.08
82.00,797.75
82.10,797.43
82.20,797.11
82.30,796.79
82.40,796.46
82.50,796.14
82.60,795.82
82.70,795.50
82.80,795.18
82.90,794.86
83.00,794.54
83.10,794.22
83.20,793.90
83.30,793.59
83.40,793.27
83.50,792.95
83.60,792.64
83.70,792.32
83.80,792.01
83.90,791.69
84.00,791.38
84.10,791.06
84.20,790.75
84.30,790.44
84.40,790.13
84.50,789.82
84.60,789.50
84.70,789.19
84.80,788.88
84.90,788.57
85.00,788.26
85.10,787.96
85.20,787.65
85.30,787.34
85.40,787.03
85.50,786.73
85.60,786.42
85.70,786.11
85.80,785.81
85.90,785.50
86.00,785.20
86.10,784.90
86.20,784.59
86.30,784.29
86.40,783.99
86.50,783.69
86.60,783.38
86.70,783.08
86.80,782.78
86.90,782.48
87.00,782.18
87.10,781.88
87.20,781.58
87.30,781.29
87.40,780.99
87.50,780.69
87.60,780.39
87.70,780.10
87.80,779.80
87.90,779.51
88.00,779.21
88.10,778.92
88.20,778.62
88.30,778.33
88.40,778.03
88.50,777.74
88.60,777.45
88.70,777.16
88.80,776.87
88.90,776.57
89.00,776.28
89.10,775.99
89.20,775.70
89.30,775.41
89.40,775.12
89.50,774.84
89.60,774.55
89.70,774.26
89.80,773.97
89.90,773.69
90.00,773.40
90.10,773.11
90.20,772.83
90.30,772.54
90.40,772.26
90.50,771.97
90.60,771.69
90.70,771.41
90.80,771.12
90.90,770.84
91.00,770.56
91.10,770.28
91.20,770.00
91.30,769.71
91.40,769.43
91.50,769.15
91.60,768.87
91.70,768.59
91.80,768.32
91.90,768.04
92.00,767.76
92.10,767.48
92.20,767.20
92.30,766.93
92.40,766.65
92.50,766.37
92.60,766.10
92.70,765.82
92.80,765.55
92.90,765.27
93.00,765.00
93.10,764.73
93.20,764.45
93.30,764.18
93.40,763.91
93.50,763.63
93.60,763.36
93.70,763.09
93.80,762.82
93.90,762.55
94.00,762.28
94.10,762.01
94.20,761.74
94.30,761.47
94.40,761.20
94.50,760.93
94.60,760.66
94.70,760.40
94.80,760.13
94.90,759.86
95.00,759.60
95.10,759.33
95.20,759.06
95.30,758.80
95.40,758.53
95.50,758.27
95.60,758.01
95.70,757.74
95.80,757.48
95.90,757.21
96.00,756.95
96.10,756.69
96.20,756.43
96.30,756.17
96.40,755.90
96.50,755.64
96.60,755.38
96.70,755.12
96.80,754.86
96.90,754.60
97.00,754.34
97.10,754.08
97.20,753.83
97.30,753.57
97.40,753.31
97.50,753.05
97.60,752.80
97.70,752.54
97.80,752.28
97.90,752.03
98.00,751.77
98.10,751.52
98.20,751.26
98.30,751.01
98.40,750.75
