t,T
30.40,1110.66
30.45,1110.05
30.50,1109.45
30.55,1108.84
30.60,1108.24
30.65,1107.64
30.70,1107.03
30.75,1106.43
30.80,1105.84
30.85,1105.24
30.90,1104.64
30.95,1104.05
31.00,1103.45
31.05,1102.86
31.10,1102.27
31.15,1101.68
31.20,1101.09
31.25,1100.50
31.30,1099.92
31.35,1099.33
31.40,1098.75
31.45,1098.17
31.50,1097.59
31.55,1097.01
31.60,1096.43
31.65,1095.85
31.70,1095.27
31.75,1094.70
31.80,1094.12
31.85,1093.55
31.90,1092.98
31.95,1092.41
32.00,1091.84
32.05,1091.27
32.10,1090.71
32.15,1090.14
32.20,1089.58
32.25,1089.01
32.30,1088.45
32.35,1087.89
32.40,1087.33
32.45,1086.77
32.50,1086.22
32.55,1085.66
32.60,1085.10
32.65,1084.55
32.70,1084.00
32.75,1083.45
32.80,1082.89
32.85,1082.35
32.90,1081.80
32.95,1081.25
33.00,1080.70
33.05,1080.16
33.10,1079.61
33.15,1079.07
33.20,1078.53
33.25,1077.99
33.30,1077.45
33.35,1076.91
33.40,1076.37
33.45,1075.84
33.50,1075.30
33.55,1074.77
33.60,1074.23
33.65,1073.70
33.70,1073.17
33.75,1072.64
33.80,1072.11
33.85,1071.58
33.90,1071.06
33.95,1070.53
34.00,1070.01
34.05,1069.48
34.10,1068.96
34.15,1068.44
34.20,1067.92
34.25,1067.40
34.30,1066.88
34.35,1066.36
34.40,1065.84
34.45,1065.33
34.50,1064.81
34.55,1064.30
34.60,1063.79
34.65,1063.28
34.70,1062.76
34.75,1062.25
34.80,1061.75
34.85,1061.24
34.90,1060.73
34.95,1060.23
35.00,1059.72
35.05,1059.22
35.10,1058.71
35.15,1058.21
35.20,1057.71
35.25,1057.21
35.30,1056.71
35.35,1056.21
35.40,1055.72
35.45,1055.22
35.50,1054.72
35.55,1054.23
35.60,1053.74
35.65,1053.24
35.70,1052.75
35.75,1052.26
35.80,1051.77
35.85,1051.28
35.90,1050.79
35.95,1050.31
36.00,1049.82
36.05,1049.33
36.10,1048.85
36.15,1048.37
36.20,1047.88
36.25,1047.40
36.30,1046.92
36.35,1046.44
36.40,1045.96
36.45,1045.48
36.50,1045.01
36.55,1044.53
36.60,1044.05
36.65,1043.58
36.70,1043.10
36.75,1042.63
36.80,1042.16
36.85,1041.69
36.90,1041.22
36.95,1040.75
37.00,1040.28
37.05,1039.81
37.10,1039.34
37.15,1038.88
37.20,1038.41
37.25,1037.95
37.30,1037.48
37.35,1037.02
37.40,1036.56
37.45,1036.10
37.50,1035.64
37.55,1035.18
37.60,1034.72
37.65,1034.26
37.70,1033.80
37.75,1033.34
37.80,1032.89
37.85,1032.43
37.90,1031.98
37.95,1031.53
38.00,1031.07
38.05,1030.62
38.10,1030.17
38.15,1029.72
38.20,1029.27
38.25,1028.82
38.30,1028.38
38.35,1027.93
38.40,1027.48
38.45,1027.04
38.50,1026.59
38.55,1026.15
38.60,1025.71
38.65,1025.26
38.70,1024.82
38.75,1024.38
38.80,1023.94
38.85,1023.50
38.90,1023.06
38.95,1022.63
39.00,1022.19
39.05,1021.75
39.10,1021.32
39.15,1020.88
39.20,1020.45
39.25,1020.01
39.30,1019.58
39.35,1019.15
39.40,1018.72
39.45,1018.29
39.50,1017.86
39.55,1017.43
39.60,1017.00
39.65,1016.57
39.70,1016.15
39.75,1015.72
39.80,1015.30
39.85,1014.87
39.90,1014.45
